C:\Users\Cogneuro\Desktop\첨복fMRI_FCSL\ASRT_main\ASRT_dog_3T_fMRI_800_600_Run2-23-1.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,EList,ExperimentVersion,Group,Name,RandomSeed,RList[Session],RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Fixation1.ACC,Fixation1.CRESP,Fixation1.DEVICE,Fixation1.DurationError,Fixation1.OnsetDelay,Fixation1.OnsetTime,Fixation1.OnsetToOnsetTime,Fixation1.RESP,Fixation1.RT,Fixation1.RTTime,ImageDisplay1.ACC,ImageDisplay1.CRESP,ImageDisplay1.DEVICE,ImageDisplay1.DurationError,ImageDisplay1.OnsetDelay,ImageDisplay1.OnsetTime,ImageDisplay1.OnsetToOnsetTime,ImageDisplay1.RESP,ImageDisplay1.RT,ImageDisplay1.RTTime,ImageDisplay2.ACC,ImageDisplay2.CRESP,ImageDisplay2.DEVICE,ImageDisplay2.DurationError,ImageDisplay2.OnsetDelay,ImageDisplay2.OnsetTime,ImageDisplay2.OnsetToOnsetTime,ImageDisplay2.RESP,ImageDisplay2.RT,ImageDisplay2.RTTime,MenuItem,Procedure[Block],Run2,Run2.Cycle,Run2.Sample,Running[Block],RunNum,Trial,BlockList,BlockList.Cycle,BlockList.Sample,DisplayLetter.DEVICE[Trial],Fixation14.ACC,Fixation14.CRESP,Fixation14.DEVICE,Fixation14.DurationError,Fixation14.OnsetDelay,Fixation14.OnsetTime,Fixation14.OnsetToOnsetTime,Fixation14.RESP,Fixation14.RT,Fixation14.RTTime,Procedure[Trial],Running[Trial],SubTrial,CorrectResponse,DisplayBlack.ACC,DisplayBlack.CRESP,DisplayBlack.DEVICE,DisplayBlack.DurationError,DisplayBlack.OnsetDelay,DisplayBlack.OnsetTime,DisplayBlack.OnsetToOnsetTime,DisplayBlack.RESP,DisplayBlack.RT,DisplayBlack.RTTime,DisplayLetter.ACC,DisplayLetter.CRESP,DisplayLetter.DEVICE[SubTrial],DisplayLetter.DurationError,DisplayLetter.OnsetDelay,DisplayLetter.OnsetTime,DisplayLetter.OnsetToOnsetTime,DisplayLetter.RESP,DisplayLetter.RT,DisplayLetter.RTTime,EBList,event,finalRT,firstACC,firstON,firstRESP,firstRT,ImageFile1,ImageFile2,LearnTrialList,LearnTrialList.Cycle,LearnTrialList.Sample,PracTrialList,PracTrialList.Cycle,PracTrialList.Sample,Procedure[SubTrial],RList[SubTrial],Running[SubTrial],TrialType
ASRT_dog_3T_fMRI_800_600_Run2,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2590656311184</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-23-1,60.321,EBList,1.0.0.735,1,23,791793033,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 2:17:25,11:17:25,3.0.3.43,1,0,,Keyboard,-999999,12,6717,0,s,25131,31848,0,,Keyboard,-999999,14,757855,0,{SPACE},20641,778496,0,,Keyboard,-999999,8,37356,0,s,492,37848,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,8,97356,0,s,492,97848,BlockProc,BlockList,1,1,,,,,,,,,,,1,1,Keyboard,0,0,38168,0,1,286,38454,,1,286,1,38168,1,286,Images\B1.bmp,Images\B1.bmp,,,,1,1,1,TrialProc,1,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2590656311184</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-23-1,60.321,EBList,1.0.0.735,1,23,791793033,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 2:17:25,11:17:25,3.0.3.43,1,0,,Keyboard,-999999,12,6717,0,s,25131,31848,0,,Keyboard,-999999,14,757855,0,{SPACE},20641,778496,0,,Keyboard,-999999,8,37356,0,s,492,37848,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,8,97356,0,s,492,97848,BlockProc,BlockList,2,3,,,,,,,,,,,0,3,Keyboard,-10,10,38798,0,1,199,38997,,3,,0,38798,1,199,Images\B3.bmp,Images\B3.bmp,,,,1,2,2,TrialProc,3,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2590656311184</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-23-1,60.321,EBList,1.0.0.735,1,23,791793033,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 2:17:25,11:17:25,3.0.3.43,1,0,,Keyboard,-999999,12,6717,0,s,25131,31848,0,,Keyboard,-999999,14,757855,0,{SPACE},20641,778496,0,,Keyboard,-999999,8,37356,0,s,492,37848,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,8,97356,0,s,492,97848,BlockProc,BlockList,3,1,,,,,,,,,,,0,1,Keyboard,-3,3,39411,0,3,226,39637,,1,,0,39411,3,226,Images\B1.bmp,Images\B1.bmp,,,,1,3,3,TrialProc,1,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2590656311184</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-23-1,60.321,EBList,1.0.0.735,1,23,791793033,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 2:17:25,11:17:25,3.0.3.43,1,0,,Keyboard,-999999,12,6717,0,s,25131,31848,0,,Keyboard,-999999,14,757855,0,{SPACE},20641,778496,0,,Keyboard,-999999,8,37356,0,s,492,37848,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,8,97356,0,s,492,97848,BlockProc,BlockList,4,2,,,,,,,,,,,0,2,Keyboard,-13,13,40041,0,1,209,40250,,2,,0,40041,1,209,Images\B2.bmp,Images\B2.bmp,,,,1,4,4,TrialProc,2,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2590656311184</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-23-1,60.321,EBList,1.0.0.735,1,23,791793033,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 2:17:25,11:17:25,3.0.3.43,1,0,,Keyboard,-999999,12,6717,0,s,25131,31848,0,,Keyboard,-999999,14,757855,0,{SPACE},20641,778496,0,,Keyboard,-999999,8,37356,0,s,492,37848,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,8,97356,0,s,492,97848,BlockProc,BlockList,5,4,,,,,,,,,,,1,4,Keyboard,-7,7,40655,0,4,289,40944,,4,289,1,40655,4,289,Images\B4.bmp,Images\B4.bmp,,,,1,5,5,TrialProc,4,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2590656311184</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-23-1,60.321,EBList,1.0.0.735,1,23,791793033,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 2:17:25,11:17:25,3.0.3.43,1,0,,Keyboard,-999999,12,6717,0,s,25131,31848,0,,Keyboard,-999999,14,757855,0,{SPACE},20641,778496,0,,Keyboard,-999999,8,37356,0,s,492,37848,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,8,97356,0,s,492,97848,BlockProc,BlockList,6,4,1,4,Keyboard,0,0,41268,0,4,232,41500,,,,,,,,,,,4,4,232,1,41268,4,232,Images\R1.bmp,Images\B4.bmp,1,1,1,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run2,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2590656311184</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-23-1,60.321,EBList,1.0.0.735,1,23,791793033,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 2:17:25,11:17:25,3.0.3.43,1,0,,Keyboard,-999999,12,6717,0,s,25131,31848,0,,Keyboard,-999999,14,757855,0,{SPACE},20641,778496,0,,Keyboard,-999999,8,37356,0,s,492,37848,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,8,97356,0,s,492,97848,BlockProc,BlockList,7,3,,,,,,,,,,,1,3,Keyboard,-10,10,41898,0,3,279,42177,,3,279,1,41898,3,279,Images\B3.bmp,Images\B3.bmp,2,1,2,,,,TrialProc,3,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run2,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2590656311184</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-23-1,60.321,EBList,1.0.0.735,1,23,791793033,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 2:17:25,11:17:25,3.0.3.43,1,0,,Keyboard,-999999,12,6717,0,s,25131,31848,0,,Keyboard,-999999,14,757855,0,{SPACE},20641,778496,0,,Keyboard,-999999,8,37356,0,s,492,37848,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,8,97356,0,s,492,97848,BlockProc,BlockList,8,3,1,3,Keyboard,-4,4,42512,0,3,235,42747,,,,,,,,,,,3,3,235,1,42512,3,235,Images\R1.bmp,Images\B3.bmp,3,1,3,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run2,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2590656311184</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-23-1,60.321,EBList,1.0.0.735,1,23,791793033,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 2:17:25,11:17:25,3.0.3.43,1,0,,Keyboard,-999999,12,6717,0,s,25131,31848,0,,Keyboard,-999999,14,757855,0,{SPACE},20641,778496,0,,Keyboard,-999999,8,37356,0,s,492,37848,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,8,97356,0,s,492,97848,BlockProc,BlockList,9,2,,,,,,,,,,,0,2,Keyboard,-14,14,43142,0,1,256,43398,,2,,0,43142,1,256,Images\B2.bmp,Images\B2.bmp,4,1,4,,,,TrialProc,2,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run2,23,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2590656311184</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T02:17:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-23-1,60.321,EBList,1.0.0.735,1,23,791793033,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 2:17:25,11:17:25,3.0.3.43,1,0,,Keyboard,-999999,12,6717,0,s,25131,31848,0,,Keyboard,-999999,14,757855,0,{SPACE},20641,778496,0,,Keyboard,-999999,8,37356,0,s,492,37848,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,8,97356,0,s,492,97848,BlockProc,BlockList,10,1,1,1,Keyboard,-7,7,43755,0,1,315,44070,,,,,,,,,,,1,1,315,1,43755,1,315,Images\R1.bmp,Images\B1.bmp,5,1,5,,,,TrialProc2,RList,LearnTrialList,P
